After round 175, test_loss = 0.3179, test_acc = 0.9114
After round 176, test_loss = 0.3177, test_acc = 0.9121
After round 177, test_loss = 0.3175, test_acc = 0.9123
After round 178, test_loss = 0.3174, test_acc = 0.9125
After round 179, test_loss = 0.3171, test_acc = 0.9125
After round 180, test_loss = 0.3168, test_acc = 0.9126
After round 181, test_loss = 0.3166, test_acc = 0.9124
After round 182, test_loss = 0.3164, test_acc = 0.9126
After round 183, test_loss = 0.3162, test_acc = 0.9123
After round 184, test_loss = 0.3161, test_acc = 0.9124
After round 185, test_loss = 0.3158, test_acc = 0.9124
After round 186, test_loss = 0.3156, test_acc = 0.9124
After round 187, test_loss = 0.3153, test_acc = 0.9128
After round 188, test_loss = 0.3152, test_acc = 0.9127
After round 189, test_loss = 0.315, test_acc = 0.9128
After round 190, test_loss = 0.3147, test_acc = 0.913
After round 191, test_loss = 0.3146, test_acc = 0.913
After round 192, test_loss = 0.3144, test_acc = 0.9128
After round 193, test_loss = 0.3142, test_acc = 0.9129
After round 194, test_loss = 0.3141, test_acc = 0.9129
After round 195, test_loss = 0.3139, test_acc = 0.9127
After round 196, test_loss = 0.3136, test_acc = 0.913
After round 197, test_loss = 0.3135, test_acc = 0.9128
After round 198, test_loss = 0.3132, test_acc = 0.9134
After round 199, test_loss = 0.313, test_acc = 0.9133
After round 200, test_loss = 0.3129, test_acc = 0.9134
