After round 168, test_loss = 0.4009, test_acc = 0.8876
After round 169, test_loss = 0.4021, test_acc = 0.8812
After round 170, test_loss = 0.4481, test_acc = 0.8535
After round 171, test_loss = 0.405, test_acc = 0.8841
After round 172, test_loss = 0.4296, test_acc = 0.8769
After round 173, test_loss = 0.4236, test_acc = 0.8788
After round 174, test_loss = 0.4161, test_acc = 0.8796
After round 175, test_loss = 0.4051, test_acc = 0.8869
After round 176, test_loss = 0.441, test_acc = 0.8579
After round 177, test_loss = 0.4924, test_acc = 0.8248
After round 178, test_loss = 0.5301, test_acc = 0.8065
After round 179, test_loss = 0.5673, test_acc = 0.786
After round 180, test_loss = 0.5222, test_acc = 0.8116
After round 181, test_loss = 0.4406, test_acc = 0.8697
After round 182, test_loss = 0.4647, test_acc = 0.858
After round 183, test_loss = 0.3963, test_acc = 0.8884
After round 184, test_loss = 0.4045, test_acc = 0.8835
After round 185, test_loss = 0.4132, test_acc = 0.8728
After round 186, test_loss = 0.4605, test_acc = 0.8485
After round 187, test_loss = 0.4308, test_acc = 0.861
After round 188, test_loss = 0.4622, test_acc = 0.8414
After round 189, test_loss = 0.4947, test_acc = 0.8301
After round 190, test_loss = 0.4185, test_acc = 0.8737
After round 191, test_loss = 0.3791, test_acc = 0.8974
After round 192, test_loss = 0.3853, test_acc = 0.8935
After round 193, test_loss = 0.4163, test_acc = 0.8747
After round 194, test_loss = 0.4003, test_acc = 0.8878
After round 195, test_loss = 0.4062, test_acc = 0.877
After round 196, test_loss = 0.4053, test_acc = 0.8772
After round 197, test_loss = 0.4267, test_acc = 0.8624
After round 198, test_loss = 0.3972, test_acc = 0.8823
After round 199, test_loss = 0.3878, test_acc = 0.8898
After round 200, test_loss = 0.3693, test_acc = 0.9004
