Starting: 18:47:29:442314
round_93_received_params_1: 18:47:42:040549
round_93_end: 18:47:42:040733
round_94_start: 18:47:42:040753
round_94_model_trained: 18:47:42:052467
round_94_model_shared: 18:47:42:059353
round_94_received_params_1: 18:47:42:175391
round_94_end: 18:47:42:175574
round_95_start: 18:47:42:175594
round_95_model_trained: 18:47:42:188809
round_95_model_shared: 18:47:42:195680
round_95_received_params_1: 18:47:42:304797
round_95_end: 18:47:42:304981
round_96_start: 18:47:42:305002
round_96_model_trained: 18:47:42:317929
round_96_model_shared: 18:47:42:324775
round_96_received_params_1: 18:47:42:453788
round_96_end: 18:47:42:453987
round_97_start: 18:47:42:454009
round_97_model_trained: 18:47:42:467092
round_97_model_shared: 18:47:42:473953
round_97_received_params_1: 18:47:42:580099
round_97_end: 18:47:42:580282
round_98_start: 18:47:42:580303
round_98_model_trained: 18:47:42:593096
round_98_model_shared: 18:47:42:599948
round_98_received_params_1: 18:47:42:721585
round_98_end: 18:47:42:721768
round_99_start: 18:47:42:721789
round_99_model_trained: 18:47:42:734616
round_99_model_shared: 18:47:42:741482
round_99_received_params_1: 18:47:42:850577
round_99_end: 18:47:42:850760
round_100_start: 18:47:42:850781
round_100_model_trained: 18:47:42:863586
round_100_model_shared: 18:47:42:870426
round_100_received_params_1: 18:47:42:986508
round_100_end: 18:47:42:986693
round_101_start: 18:47:42:986714
round_101_model_trained: 18:47:42:999567
round_101_model_shared: 18:47:43:006412
round_101_received_params_1: 18:47:43:113809
round_101_end: 18:47:43:114007
round_102_start: 18:47:43:114028
round_102_model_trained: 18:47:43:126825
round_102_model_shared: 18:47:43:133669
round_102_received_params_1: 18:47:43:253816
round_102_end: 18:47:43:254016
round_103_start: 18:47:43:254038
round_103_model_trained: 18:47:43:266872
round_103_model_shared: 18:47:43:273716
round_103_received_params_1: 18:47:43:398406
round_103_end: 18:47:43:398592
round_104_start: 18:47:43:398612
round_104_model_trained: 18:47:43:411604
round_104_model_shared: 18:47:43:418452
round_104_received_params_1: 18:47:43:521947
round_104_end: 18:47:43:522131
round_105_start: 18:47:43:522152
round_105_model_trained: 18:47:43:535027
round_105_model_shared: 18:47:43:541869
round_105_received_params_1: 18:47:43:656746
round_105_end: 18:47:43:656930
round_106_start: 18:47:43:656950
round_106_model_trained: 18:47:43:669747
round_106_model_shared: 18:47:43:676595
round_106_received_params_1: 18:47:43:786435
round_106_end: 18:47:43:786618
round_107_start: 18:47:43:786640
round_107_model_trained: 18:47:43:799462
round_107_model_shared: 18:47:43:806330
round_107_received_params_1: 18:47:43:939353
round_107_end: 18:47:43:939537
round_108_start: 18:47:43:939557
round_108_model_trained: 18:47:43:952320
round_108_model_shared: 18:47:43:959165
round_108_received_params_1: 18:47:44:068282
round_108_end: 18:47:44:068467
round_109_start: 18:47:44:068487
round_109_model_trained: 18:47:44:081336
round_109_model_shared: 18:47:44:088182
round_109_received_params_1: 18:47:44:202934
round_109_end: 18:47:44:203119
round_110_start: 18:47:44:203139
round_110_model_trained: 18:47:44:215839
round_110_model_shared: 18:47:44:222687
round_110_received_params_1: 18:47:44:346398
round_110_end: 18:47:44:346582
round_111_start: 18:47:44:346603
round_111_model_trained: 18:47:44:359452
round_111_model_shared: 18:47:44:366290
round_111_received_params_1: 18:47:44:475805
round_111_end: 18:47:44:475989
round_112_start: 18:47:44:476009
round_112_model_trained: 18:47:44:488794
round_112_model_shared: 18:47:44:495652
round_112_received_params_1: 18:47:44:614076
round_112_end: 18:47:44:614261
round_113_start: 18:47:44:614282
round_113_model_trained: 18:47:44:627144
round_113_model_shared: 18:47:44:634018
round_113_received_params_1: 18:47:44:752205
round_113_end: 18:47:44:752387
round_114_start: 18:47:44:752407
round_114_model_trained: 18:47:44:765229
round_114_model_shared: 18:47:44:772125
round_114_received_params_1: 18:47:44:883944
round_114_end: 18:47:44:884128
round_115_start: 18:47:44:884149
round_115_model_trained: 18:47:44:896975
round_115_model_shared: 18:47:44:903836
round_115_received_params_1: 18:47:45:008244
round_115_end: 18:47:45:008427
round_116_start: 18:47:45:008448
round_116_model_trained: 18:47:45:021230
round_116_model_shared: 18:47:45:028106
round_116_received_params_1: 18:47:45:133718
round_116_end: 18:47:45:133921
round_117_start: 18:47:45:133943
round_117_model_trained: 18:47:45:146706
round_117_model_shared: 18:47:45:153530
round_117_received_params_1: 18:47:45:267453
round_117_end: 18:47:45:267635
round_118_start: 18:47:45:267655
round_118_model_trained: 18:47:45:280461
round_118_model_shared: 18:47:45:287298
round_118_received_params_1: 18:47:45:413558
round_118_end: 18:47:45:413742
round_119_start: 18:47:45:413763
round_119_model_trained: 18:47:45:426691
round_119_model_shared: 18:47:45:433538
round_119_received_params_1: 18:47:45:561376
round_119_end: 18:47:45:561562
round_120_start: 18:47:45:561582
round_120_model_trained: 18:47:45:574404
round_120_model_shared: 18:47:45:581249
round_120_received_params_1: 18:47:45:694315
round_120_end: 18:47:45:694500
round_121_start: 18:47:45:694521
round_121_model_trained: 18:47:45:707272
round_121_model_shared: 18:47:45:714127
round_121_received_params_1: 18:47:45:837477
round_121_end: 18:47:45:837662
round_122_start: 18:47:45:837682
round_122_model_trained: 18:47:45:850473
round_122_model_shared: 18:47:45:857337
round_122_received_params_1: 18:47:45:963607
round_122_end: 18:47:45:963790
round_123_start: 18:47:45:963811
round_123_model_trained: 18:47:45:976702
round_123_model_shared: 18:47:45:983571
round_123_received_params_1: 18:47:46:109704
round_123_end: 18:47:46:109960
round_124_start: 18:47:46:109982
round_124_model_trained: 18:47:46:122766
round_124_model_shared: 18:47:46:129640
round_124_received_params_1: 18:47:46:247711
round_124_end: 18:47:46:247895
round_125_start: 18:47:46:247916
round_125_model_trained: 18:47:46:260626
round_125_model_shared: 18:47:46:267468
round_125_received_params_1: 18:47:46:383388
round_125_end: 18:47:46:383571
round_126_start: 18:47:46:383592
round_126_model_trained: 18:47:46:396378
round_126_model_shared: 18:47:46:403243
round_126_received_params_1: 18:47:46:523851
round_126_end: 18:47:46:524036
round_127_start: 18:47:46:524056
round_127_model_trained: 18:47:46:536998
round_127_model_shared: 18:47:46:543851
