After round 177, test_loss = 0.3176, test_acc = 0.9133
After round 178, test_loss = 0.3174, test_acc = 0.9135
After round 179, test_loss = 0.3173, test_acc = 0.9133
After round 180, test_loss = 0.3171, test_acc = 0.9136
After round 181, test_loss = 0.3168, test_acc = 0.9138
After round 182, test_loss = 0.3165, test_acc = 0.9135
After round 183, test_loss = 0.3162, test_acc = 0.9135
After round 184, test_loss = 0.316, test_acc = 0.9135
After round 185, test_loss = 0.3159, test_acc = 0.9135
After round 186, test_loss = 0.3156, test_acc = 0.9134
After round 187, test_loss = 0.3154, test_acc = 0.9134
After round 188, test_loss = 0.3153, test_acc = 0.9136
After round 189, test_loss = 0.315, test_acc = 0.9136
After round 190, test_loss = 0.3148, test_acc = 0.9136
After round 191, test_loss = 0.3146, test_acc = 0.9139
After round 192, test_loss = 0.3144, test_acc = 0.914
After round 193, test_loss = 0.3142, test_acc = 0.9143
After round 194, test_loss = 0.314, test_acc = 0.914
After round 195, test_loss = 0.3138, test_acc = 0.9142
After round 196, test_loss = 0.3136, test_acc = 0.9143
After round 197, test_loss = 0.3134, test_acc = 0.9141
After round 198, test_loss = 0.3133, test_acc = 0.9139
After round 199, test_loss = 0.3131, test_acc = 0.9143
After round 200, test_loss = 0.3129, test_acc = 0.9141
